instance_id,user_id,original email,revised email,gender,race,age,occupation,education
1314,0.0,"Updated to include comments received as of Friday, 10/19.  According to FERC's website, these parties have filed comments, but I don't have them yet:
Pacific Gas & Electric
CPUC
Dynegy
Williams Energy Marketing & Trading
SoCal Edison
Aquila
El Paso Natural Gas
Southern California Generation Coalition
Will summarize as soon as I get copies.","Hello,
I wanted to update you on some included comments received as of Friday, 10/19. According to FERC's website the parties listed below have filed comments to which I do not have access yet:
Pacific Gas & Electric
CPUC
Dynegy
Williams Energy Marketing & Trading
SoCal Edison
Aquila
El Paso Natural Gas
Southern California Generation Coalition

I will write you with another update as soon as I get copies of their comments. 
Best,
Name Here",Woman,White,,Student,High school diploma or equivalent
1481,0.0,"Why do you keep canceling this very important meeting?
Stacey","Hello,
I am writing to get clarification on why this meeting keeps getting canceled. I feel out of the loop and would appreciate open communication on this matter.
Thank you,
Stacey ",Woman,White,,Student,High school diploma or equivalent
256,0.0,"No GCP adjustments.
   
    Best Rgds.
    Samuel x3-9890
    Enron Net Works _ Global Counterparty Team","Hello,
There are no GCP adjustments. Please let me know if you have any other questions!
Best Regards,
Samuel 
Enron Net Works _ Global Counterparty Team
x3-9890",Woman,White,,Student,High school diploma or equivalent
1098,1.0,"yeah motherfucker.  i am gonna ball tonight.  i need to take my game up a 
notch.  tonight i am gonna blow up.  pass me the damn ball.  hopefully we 
don't play the team that dunks.","Hello,

I hope this message finds you well. I am looking forward to playing basketball tonight and improving my skills. Would it be possible to have the ball passed to me more often?

I am hoping for a successful game, but I would prefer not to play against a team that frequently dunks.

Thank you, and have a great day.

Best regards,

",Man,White,,Prefer not to disclose,Less than a high school diploma
982,1.0,"Dan,
Did you ever receive an electronic copy of this guaranty format?
brant","Hello Dan,

I hope you are doing well. I was wondering if you had a chance to receive an electronic copy of the guaranty format that we discussed previously?

Please let me know if you have any questions or need any assistance with this matter.

Thank you for your attention to this, and I look forward to hearing from you soon.

Best regards,",Man,White,,Prefer not to disclose,Less than a high school diploma
525,1.0,"Mr. Baughman
I am highly interested in this position.  I have limited knowledge of the power industry through exposure to underwriting, notional pricing, commodity structuring, and my risk mgmt groups.
My best qualifying strength:  highly aggressive, professional personality.   
 
Please call to discuss.  
Regards
Dennis Brown
ext 55050","Dear Mr. Baughman,

I hope this message finds you well. I am reaching out to express my keen interest in the position you advertised recently. While my experience in the power industry is limited to my exposure to underwriting, notional pricing, and commodity structuring within my risk management groups, I am confident in my ability to learn and adapt quickly.

I would like to highlight my greatest strength, which is my tenacity and professionalism. I believe these qualities will enable me to make a meaningful contribution to your team.

If it is convenient for you, I would be grateful for the opportunity to discuss the role further at your earliest convenience. Please do not hesitate to contact me at extension 55050.

Thank you for considering my application, and I look forward to hearing from you soon.

Best regards,

Dennis Brown",Man,White,,Prefer not to disclose,Less than a high school diploma
1127,1.0,Are you a father yet?.... If not do you want to run on the treadmills or play squash tonight?,"

I hope you're doing well. I was wondering if you'd like to do some exercise tonight. Would you be interested in running on the treadmills or playing squash?
Are you a father yet?
I apologize if my previous question was too personal. Please feel free to share whatever you feel comfortable with.",Man,White,,Prefer not to disclose,Less than a high school diploma
915,1.0,"Yes, I had to go to GA right after my trip to Vegas so they could call me a
dumbass. Now it is the Californians turn.","Hello,

I hope you are doing well. I wanted to touch base and provide you with an update. I recently had to travel to Georgia, and unfortunately, I received some negative feedback while I was there.

Additionally, it looks like some of our colleagues from California will be receiving similar feedback soon.

I apologize if my previous message came across as unprofessional, and I want to ensure that we maintain a respectful and positive working relationship.

Thank you for your understanding, and please let me know if you have any questions or concerns.

Best regards,",Man,White,,Prefer not to disclose,Less than a high school diploma
354,1.0,"Paolo,
I should finish the review in a day or two. 
We were quite busy here in Enron for the last few days.
Vince","Dear Paolo,

I hope this message finds you well. I wanted to update you on the review, and I anticipate being able to complete it within the next day or two. Please accept my apologies for any delay, as we have been experiencing high levels of activity here at Enron.

Thank you for your patience and understanding. If you have any questions or concerns in the meantime, please do not hesitate to contact me.

Best regards,

Vince",Man,White,,Prefer not to disclose,Less than a high school diploma
1455,1.0,"you don't like my secretary?  what is going on?  how was your party?  i was 
in denver.","Hello,

I hope this message finds you well. I wanted to touch base and see how you've been doing. I heard that you recently had a party, and I hope it was enjoyable.

Additionally, I wanted to inquire about any concerns you may have had with my secretary. Please let me know if there are any issues that need to be addressed, as I value your opinion and feedback.

Thank you for your time and attention, and I look forward to hearing from you soon.

Best regards,

",Man,White,,Prefer not to disclose,Less than a high school diploma
1443,1.0,"EMERGENCY OUTAGE
N O T I F I C A T I O N			 
			INFORMATION SYSTEMS & SERVICES","Hello,

I hope you are having a good day. I wanted to inform you that there is an urgent issue with our information systems and services, and we are currently experiencing an outage.

We apologize for any inconvenience this may cause and are working hard to resolve the issue as quickly as possible. We will keep you updated on the progress and expected timeline.

Thank you for your understanding, and please let us know if you have any questions or concerns.

Best regards,",Man,White,,Prefer not to disclose,Less than a high school diploma
1221,1.0,"No wanting to incur the wrath of Jen for failing to keep you informed.  Monte 
Montgomery will be playing at The Fabulous Satellite Lounge May 6.  
Hopefully, we can make this one.","Hello,

I hope this email finds you well. I wanted to share some exciting news with you. Monte Montgomery will be performing at The Fabulous Satellite Lounge on May 6th, and I thought you might be interested in attending.

I apologize if my previous message seemed abrupt, and I want to ensure that you are kept informed of any relevant updates or events. Please let me know if you have any questions or concerns.

Thank you for your time, and I hope to hear from you soon.

Best regards,",Man,White,,Prefer not to disclose,Less than a high school diploma
234,1.0,"Please revise by adding the newly elected MDs (from Friday's promotion memo) 
under the existing heading ""Other Managing Directors"".  Thanks","I hope this message finds you well. I wanted to touch base regarding the recent promotion memo from Friday and make sure that you are aware of the latest updates.

We have elected some new Managing Directors, and I wanted to ensure that they are properly acknowledged. They will be added to the existing list of Managing Directors under the heading ""Other Managing Directors.""

Thank you for your attention to this matter, and please let me know if you have any questions or concerns.

Best regards,",Man,White,,Prefer not to disclose,Less than a high school diploma
736,2.0,"John,
Based on yesterday's (5/9/01) curves, and applying spreads from our previous quotes, the new updated notionl bid is $4.51/MMBTU.  Let me know if you need any more assistnace.
Thanks,
Charlie","John
Based on the quotes from yesterday.  Our new updated notionl bid will be $4.51/MMBTU.
Please let me know if you have questions.

Thank you
Charlie.",Woman,Biracial,,Employed,Graduate degree
1150,2.0,"AND I'M OUT ALL DAY TOMORROW.  ON SECOND THOUGHT, FEEL FREE TO SUB. PAGES AND GO WTIH IT.  THANKS.",I will be out of the office tomorrow.  Please handle all issues as needed.  Thank you,Woman,Biracial,,Employed,Graduate degree
1416,2.0,I am destined to be a dork....it's in the genes.,It's in my DNA to become a dork,Woman,Biracial,,Employed,Graduate degree
496,2.0,We drinking beer tonight?  You called me to late yesterday.,Have we rescheduled for tonight? Let me know if you still want to go out for a few beers.,Woman,Biracial,,Employed,Graduate degree
190,2.0,"FYI.  Chris:  Any progress with Freeman on creditworthiness issues?
Best,
Jeff","Chris, 
Is there any update on the creditworthiness issues with Freeman?",Woman,Biracial,,Employed,Graduate degree
345,2.0,"dont hush me, how was youre trip back","Excuse me, how was your trip?",Woman,Biracial,,Employed,Graduate degree
270,2.0,"Elise,
Thanks for the email.  In August i changed jobs and am now the CEO for Enron 
Global Markets.  I am no longer in the technology sector (although I enjoyed 
it very much and it was a difficult decision to leave).  Please remove me 
from your email list for further HTC events.
Thanks and good luck,
mike","Elise, Please note: I've changed job in August.  I accepted a position as their CEO for  Enron Global Markets,  Can you please remove me as the contact for technology sector at HTC events.  Thank you in advance for your help.''",Woman,Biracial,,Employed,Graduate degree
1210,2.0,are you sure you are looking at the correct one b/c i don't see her on yahoo.  i think you are lying b/c she is not gross.,"I think you are mistaking, I don't see anything wrong with her on yahoo.  ",Woman,Biracial,,Employed,Graduate degree
168,2.0,"Michael,
Sorry I am a little to quick on the draw.  Ketan had Fed expressed Morgan 
Stanley's Futures Agreement to me and I had already forwarded to legal.
Thank you for the contact names. 
Thanks. Sheila","Michael,
I sent the Morgan Stanley's Futures agreement to legal.  I apologize for the error of send the agreement to soon.

Thank you in advance for understanding.
Sheila ",Woman,Biracial,,Employed,Graduate degree
695,2.0,"Mark,  Attached is the revised letter agreement.  Please review and if 
acceptable forward to Gulf.  In addition to the items you and I discussed, I 
also added an arbitration clause.   This is standard for all Enron deals.   
Please let me know if you have any questions.","Mark, Please review the revised letter agreement for the Enron deal.  I added the arbitration clause and the addition items we discussed.  If you are in agreement with the revision, please forward it to Gulf.   Please let me know if you have any questions ",Woman,Biracial,,Employed,Graduate degree
86,,"Michael is still running 102 fever.  I spoke to the doctor again today, and 
he said that Michael had a pretty good bit of strep.  I'm feeling better, 
though, and have gotten a decent amount of work done.  In fact, Christy 
Chapman may give you some original documents I initialled and faxed to her.  
I'll explain later.  If I had your fax number I think I would have faxed them 
to you.
Have a great day tomorrow.
Kay","Hello, how are you? I spoke to the doctor again today, and
he said that Michael had a pretty good bit of strep along with a 102 fever. As for me, I'm feeling better and have gotten a decent amount of work done. In fact, Christy Chapman may give you some original documents I initialed and faxed to her. I'll explain in more detail later. Also, may I have your number so that I can fax them to you next time?
Have a great day tomorrow.
Kay",,,,,
686,3.0,"Gentlemen:
Mike Morgan asked me to forward you the following.
Gail Glidewell
Assistant to Michael Morgan","Gentlemen:
Mike Morgan has asked me to forward you the following. Please review at your earliest convenience. 

Thank you, 
Gail Glidewell
Assistant to Michael Morgan",Woman,White,,Self-employed,College degree
1172,3.0,Read this if you want to be more depressed.,Read this please. My apologies for the depressing nature of it. ,Woman,White,,Self-employed,College degree
1391,3.0,"David 
please make sure all team leaders have this or a smaller version.","David, 
Would you please make sure that all of the team leaders have this sent to them in a concise document? 

Thank you, 
Your Colleague ",Woman,White,,Self-employed,College degree
743,3.0,"(See attached file: aga041204.pdf)
This message and any attachments (the ""message"") is
intended solely for the addressees and is confidential. 
If you receive this message in error, please delete it and 
immediately notify the sender. Any use not in accord with 
its purpose, any dissemination or disclosure, either whole 
or partial, is prohibited except formal approval. The internet
can not guarantee the integrity of this message. 
BNP PARIBAS (and its subsidiaries) shall (will) not 
therefore be liable for the message if modified.","See attached file: aga041204.pdf)
This message and any attachments (the ""message"") is
intended solely for the addressees and is confidential.
If you receive this message in error, please delete it and
immediately notify the sender. Any use not in accord with
its purpose, any dissemination or disclosure, either whole
or partial, is prohibited except formal approval. The internet
can not guarantee the integrity of this message.
BNP PARIBAS (and its subsidiaries) shall (will) not
therefore be liable for the message if modified.",Woman,White,,Self-employed,College degree
1009,3.0,"which age comment?  the one when i said that you were too old to be my 
girlfriend after i get married?",Which comment are you referring to? My apologies if you misunderstood. I think you will be too advanced in age to be my girlfriend after i get married?,Woman,White,,Self-employed,College degree
29,3.0,"THIS IS NO JOKE PLEASE SENDTHIS TO ALL OF CALGARY.  THANKS ANGELA 
TODAY IS NATIONAL FUN DAY AT WORK (so get to work!)
THANKS FOR ALL YOUR HARD WORK!
JOHN LAVORATO","This is no joke! Please send this to all of Calgary. Thanks Angela.

TODAY IS NATIONAL FUN DAY AT WORK (so get to work!)

Thanks for all your Hard Work!
John Lavorato",Woman,White,,Self-employed,College degree
840,3.0,"Andy,
 Please review the attached spreadsheet for Stack Manager and Website Access for the UBS Online Trading Platform and note any necessary changes.
 
Thank you for your help.
Stephanie Sever
EnronOnline
713-853-3465","Greetings Andy,
Would you please review the attached spreadsheet for Stack Manager and Website Access for the UBS Online Trading Platform and note any necessary changes.

Thank you for your help.
Stephanie Sever
EnronOnline
713-853-3465",Woman,White,,Self-employed,College degree
301,3.0,"Richard
I spoke to the head of origination to make sure he was alerted to Stu Zisman
in case the resume comes in form another a source.  Gave a good reference,
the background story.  Mark is interested.  Have Stu send me his details to
my email: jebeling@tractebelusa.com and I will see that it gets to where it
needs to be.
Jim","Richard, 
I spoke to the head of origination to make sure he was alerted to Stu Zisman in case the resume comes in form another a source. He gave a good reference and the background story. Mark is interested. Please have Stu send me his details to my email: jebeling@tractebelusa.com and I will see that it gets to where it needs to be.

Thanks, 
Jim",Woman,White,,Self-employed,College degree
229,3.0,"Cleca, CIU and CMTA signed on.
Tell me more about the TURN/AG office deal.
Dot","Cleca, CIU and CMTA are signed on.
Please tell me more about the TURN/AG office deal.

Thanks, 
Dot",Woman,White,,Self-employed,College degree
138,3.0,"Jeff- thanks very much for your support of our Energy News Today concept. We will talk to John Nowlan immediately, but based on your commitment today, we will proceed with the one year 360K commitment to ENT.  As mentioned, we had to act quickly to prevent the sources from being bought out by Petroleum Argus.  ENT has accepted our offer and the reporting will continue uninterrupted.
Attached below is Clay's memo on ENT for your reference.
Cheers,
RJ","Greetings Jeff,
Thanks very much for your support of our Energy News Today concept. 
We will talk to John Nowlan immediately and we will proceed with the one year 360K commitment to ENT. As mentioned, we wanted act quickly to prevent the sources from being bought out by Petroleum Argus. ENT has accepted our offer and the reporting will continue uninterrupted.
Attached below is Clay's memo on ENT for your reference. Thanks again for your support. 
Cheers,
RJ",Woman,White,,Self-employed,College degree
179,4.0,"god, i'm trying to be nice.  jerk",I wanted to tell you that I was only trying to be nice. You didn't have to be rude about it. ,Woman,White,,Employed,College degree
385,4.0,"more German gas developments.  Of course, Enron's case was the first.   mcs","Of all the German gas developments, Enron was the first.",Woman,White,,Employed,College degree
442,4.0,Dylan:  Don't kill me.  Is this case due today or next Monday?,"Hey, (insert name here), 

I was hoping you could tell me if the case is due today or next Monday? I've forgotten the correct date and would appreciate it if you could remind me. 

Thanks, 
                    Dylan",Woman,White,,Employed,College degree
1320,4.0,"no.  he is divorced though.  the other guy going is the one from a&m i told 
you about.  the old guy is hilarious.  he is the funniest person i know.","No, you seem to have mixed up the people I was telling you about. The guy from A&M is the elderly gentleman. He was the one who is really funny, maybe one of the funniest people I know. The other person is the one who is divorced. ",Woman,White,,Employed,College degree
647,4.0,"what is it.  i got to know.  i need some new chicks.  i need the weekend.  
today totally sucks.  what are some good books to read?","Hey, 
   Do you have any good book recommendations? I'm ready for the weekend to be here but, I don't have anything planned. The week has been hard and relaxing with a book sounds great. If you could let me know before the weekend comes I would appreciate it. 

Thanks.",Woman,White,,Employed,College degree
1313,4.0,Meeting info which I'd *swear* I already fwd'd to you!!!,"Dear (insert name here), 

  Here is the meeting information you needed. I'm sorry that it didn't reach you the first time it went out. Please let me know if you are able to view the meeting information in the document. 

(Insert senders name).",Woman,White,,Employed,College degree
560,4.0,"Do you want to go to Las Vegas for this trip?
I love you,
Jim","Hey (insert name here), 

 Our next trip is coming up and I was wondering if you wanted to go to Las Vegas this time? Let me know. 

Love, 
           Jim",Woman,White,,Employed,College degree
1343,4.0,"Heidi,
I am sending you my interpretation of what BBC is owed for the Feb NYSEG Gas.
John","Heidi, 

Here is the interpretation of what BBC is owed for the February NYSEG Gas. If you have any questions please let me know. 

John",Woman,White,,Employed,College degree
467,4.0,"Rick.  
We have NOT pursued this aspect from South America.  I do not know if there is anyone in North America looking at this, at least from the perspective of competitive sourcing  to California. This project is in gestation and will take a few years of development, if it is launched.  British Gas is one of the movers in Bolivia, because they DO NOT want to remain dependent exclusively on  to the Brazilian market (and the hold of Petrobras).
Jose","Dear Rick, 

I wanted to let you know that we have not pursued this aspect from South America because we are unsure if it will bring any competitive sourcing in the future. This venture would take a few years to develop if we get it launched. Other companies don't seem to want to remain dependent on oil exclusively from South America. We will continue to keep our eyes on the situation and plan what to do moving forward.

Sincerely, 
                     Jose",Woman,White,,Employed,College degree
147,4.0,"The list should be eliminated. Just provide that the parties should mutually 
agree on an arbitrator, who must be a Delaware corporate atty.","Hello (insert collegue name), 

There was an issue in relation to the list you provided. In the future we will no longer require such a list. Instead, we will only need to inform both parties that they need to mutually agree on an arbitrator and make it clear to them that they have to be a Delaware corporate atty. 

Sincerely, 
                 (Your name here)",Woman,White,,Employed,College degree
825,5.0,"Per Steve's request, I am forwarding a phone number of a consulting company 
that produces maps which show all pipeline in Texas (sorted by county).  This 
might be a good place to start to find the pipeline you described in your 
voice mail to Steve.
The company is Design Technics Corp.  Phone: (713) 460-2291.  The map will 
generally show where the pipeline runs, but it is depicted at more of a macro 
level.","Hi there,

Steve mentioned you were wondering about a pipeline's location.  The company referenced below can provide a map showing all pipelines in Texas (sorted by county).  Their map may be more general than would be ideal for you, providing a more macro view of pipeline locations, but I thought it might be a good place for you to begin your research.

Design Technics Corp.  (713) 460-2291.",Woman,White,,Homemaker,Graduate degree
663,5.0,"Al,
What about a lunch or breakfast on Monday or Tuesday next week?
I am traveling later this week.
Vnce","Hey there Al,

Are you available for breakfast or lunch early next week?  I can do Monday or Tuesday, but not before then as I am traveling later this week.  

Please let me know!
Vince",Woman,White,,Homemaker,Graduate degree
1129,5.0,what are you talking about?  Are you going to be a GRANNY???,"(I don't understand what the message is trying to convey, but I'll give it a whirl)

I'm sorry, can you provide more information?  It sounds like you're saying you may soon be a grandparent?",Woman,White,,Homemaker,Graduate degree
1234,5.0,"Oops, I can't read you already said that.",Please disregard my last message.  I misread the email you sent earlier and didn't realize you had already responded to my question.,Woman,White,,Homemaker,Graduate degree
827,5.0,alright what do you want for warrick dunn?,"Hi there -

Could you please clarify for me what you would like me to do for Warrick Dunn?

Thank you!",Woman,White,,Homemaker,Graduate degree
401,5.0,"Peter,
I don't know what letter you're talking about...","Hi Peter,

I got your message, but I'm unsure what you're asking.  Can you remind me what letter you're referring to?",Woman,White,,Homemaker,Graduate degree
468,5.0,please make sure she knows you are my asst.,"Please make sure the client understands you are my assistant, thanks!",Woman,White,,Homemaker,Graduate degree
1469,5.0,I'll give a hollar when I take my smoke break--what times are good for you?,"Hiya,

Hey so I am able to take a break really at any time.  What time works for you?",Woman,White,,Homemaker,Graduate degree
515,5.0,"well you made me laugh, i want to here you sing","(I don't understand what the message is trying to convey, but I'll give it a whirl)

You always make me laugh, so I would love to hear you sing!",Woman,White,,Homemaker,Graduate degree
562,5.0,"George Bush, minister of the double negative:  ""Not over my dead body"" will they raise your taxes.
Does that mean yes to tax increases as long as he is alive ?","(Again, I don't understand what the message is trying to convey, but I'll give it a whirl.  It just seems like a sarcastic rant.)

George Bush said taxes would be raised ""not over my dead body"".  Was this a malaprop, or did he mean taxes would rise during his lifetime?",Woman,White,,Homemaker,Graduate degree
80,6.0,"Don't you have work to do today?  By the way, I will kick your ass for free!","If you worked today, I would kick your ass for free, by the way!",Woman,Black or African American,,Student,College degree
1189,6.0,"FYI, for meeting w/ McMahon on Monday.    Lisa","Meeting on Monday with McMahon
Lisa",Woman,Black or African American,,Student,College degree
1429,6.0,"Do you deserve one?  Have you been very good, or very bad?  I need to know 
what kind of spanking to give you!
>","Have you been very good, or very bad? I need to know, so I know what kind of spanking to give you! Do you deserve one?",Woman,Black or African American,,Student,College degree
784,6.0,"Effective today May 24, 2001 we are returning the 3,200 Mts that we borrowed as per the LPG Storage and Services Agreement by and between EcoEl?ctrica L.P. and ProCaribe a Division of the Protane Corporation.
Saludos","May 24, 2001
We are returning 3,200 Mts that was borrowed per the LPG Storage and Services Agreement between EcoElectria L.P. and ProCaribe, a Division of the Protane Corporation.",Woman,Black or African American,,Student,College degree
1054,6.0,"bitter, bitter, bitter.  this country is FULL of sour grapes!  our washers
and dryers kick, plus- have these people ever heard of ice or REAL movie
popcorn??? no, seriously.....?!
e
>","this country is FULL of sour grapes! bitter, bitter, bitter. our washers
and dryers kick, plus- have these people ever heard of ice or REAL movie
popcorn??? no, seriously.....?!
e
>",Woman,Black or African American,,Student,College degree
1342,6.0,"Richard:
I don't know if you were copied separately on this message.  Can you send a 
letter after Thanksgiving?  The first payment should come due the first week 
in December.  Thanks.  Sara","Richard
Don't know if you were cc'd separately on this but the first payment becomes due the first week of December, so can you send the letter after Thanksgiving? 
Thanks
Sara",Woman,Black or African American,,Student,College degree
1305,6.0,"how is dean's.  looks like a cool place.  how great would it be to party in 
dallas on new years eve and then begin the year by kicking texas' ass again.  
that would all major sports.  what is up for this weekend?","what is up for this weekend? how great would it be to party in
dallas on new years eve and then begin the year by kicking Texas' ass again. how is dean's. looks like a cool place.",Woman,Black or African American,,Student,College degree
22,6.0,"Nelson,
We can go to Memphis on Friday. I would discuss first with Gary and Elsa
the scope of what we shall reveal.
We can shoot ourselves in the foot if we reveal our pricing technology to
consultants.
Vince","Nelson, 
Be prepared to go to Memphis on Friday, after I discuss with Gary and Elsa what should be revealed. We can kiss our jobs goodbye if our pricing technology gets revealed to some consultants.",Woman,Black or African American,,Student,College degree
772,6.0,"Travis:
I received this on 11/17 and I was on vacation.  I think it's too late to 
respond but let me know.  Sara","Travis
I know it is too late to respond but I received this on 11/17 while I was on vacation, but let me know!
Sara",Woman,Black or African American,,Student,College degree
3,6.0,"I received an invoice from Corestaff for the day that Christina worked.  Do I need to do something with the invoice, or will she be paid automatically?","Hello,
I received an invoice from Corestaff for the day Christina worked and was wondering if I needed to do anything with it, or will she be paid automatically?
Thanks",Woman,Black or African American,,Student,College degree
584,7.0,don't you love the ok method of communicating.,"Good Morning,

What are your thoughts on this method of communication?",Man,White,,Employed,College degree
794,7.0,"Kenny,
You are no friend of mine. You belong in jail. I hope that you experience 1/10 of the anguish that you have caused. I am not a vengeful man, but you have done ill by those who gave their very souls to your company, and that is inexcusable.
Matt","Kenny,
I do not wish to be your friend anymore. I disagree with your decisions and hope you understand the anguish that you have caused. I am not a vengeful man, but you have done ill by those who gave their very souls to your company. That is inexcusable.
Matt",Man,White,,Employed,College degree
1235,7.0,"Oh, just a little teaser for the group.  Believe me, they all just think
it's me being my usual weird, nonsensical self.
Do you want the picture you sent me?","Ok sounds good, here's a little teaser for the group. Do you want the picture you sent me?",Man,White,,Employed,College degree
1225,7.0,"Didn't see the release.  They gonna be a softwary provider, or something?",I didn't see the release. Will they be a software provider for the company?,Man,White,,Employed,College degree
1131,7.0,"Again,
 ""I accept the terms and conditions of this Pilot Participant Agreement.""
Please acknowledge receipt of this.  Thank you.","Hello,

I writing to inform you that ""I accept the terms and conditions of this Pilot Participant Agreement."" Please acknowledge receipt, as I am not sure my previous emails have been received. Thank you.",Man,White,,Employed,College degree
1036,7.0,"bed situation is as follows:
everyone will be naked and in the same bed; your parents may excuse 
themselves if they wish.
i'll be there round 7:30.","Good Morning,

The bed situation is that everyone will be naked and in the same bed. As not everyone may be comfortable with this, your parents may excuse
themselves if they wish. I'll be there around 7:30.",Man,White,,Employed,College degree
1122,7.0,what is the except becky stuff all the time.,What is going on tonight? Would love to catch up.,Man,White,,Employed,College degree
308,7.0,"Can you smell whats cookin' in the WWF ?
I can and it's  the Rock whoopin ass on the WCW","Good Morning,

Can you help me prepare a meal? I'm looking for dinner ideas.",Man,White,,Employed,College degree
278,7.0,"Mark,
Before we say ""Auf Wiedersehen"", I wanted to catch up on some housekeeping.
Could you please confirm that you have now signed off on each of the 
following items for NA:
- NA GTC's
- NA ETA
- NA PA
- Brochure contents (including letters)
- Website Contents (including help and FAQ's)
- General legal relationship and structure of the website and the contracts.
- Long and Short descriptions 
Thanks,
Dave","Good Morning Mark,

Hope you're doing well. I wanted to catch up on some housekeeping items before we leave for the day.
Could you please confirm that you have now signed off on each of the
following items for NA:
- NA GTC's
- NA ETA
- NA PA
- Brochure contents (including letters)
- Website Contents (including help and FAQ's)
- General legal relationship and structure of the website and the contracts.
- Long and Short descriptions
Thanks,
Dave",Man,White,,Employed,College degree
1377,7.0,"Would you read that to mean the authority to buy power ""as agent for"" the 
Cities?  Seems not entirely clear but not entirely out of the question.  
Kay","I had a question about the information. Would you read that to mean the authority to buy power ""as agent for"" the Cities? This could potentially be the meaning but I'm looking for clarification.

Sincerely,
Kay",Man,White,,Employed,College degree
94,8.0,"Tim Duncan is what ever the draft personnel categorize him as.  Guranteed 
victories?? What is your record this year thrill kill?  What was your record 
in basketball?  Enough said.
PL","Tim Duncan fits any description the draft personnel give him. Assurance of success? What's your year-to-date record, Thrill-kill? What was your basketball record? I will stop here.

- PL",Woman,Asian,,Student,Prefer not to disclose
591,8.0,everyone was pissed cause we lost.  what did you do this weekend?,"Because we fell short, everyone was furious. How did your weekend go?",Woman,Asian,,Student,Prefer not to disclose
956,8.0,"Hey guys, I hope to see as many of you as possible for the happy hour at
Dixie's.  Barring any more massive flooding I'll be there just after 5 and
try to hold down a group of tables in one area.
Lee","Hey folks, I am looking forward to seeing as many of you at Dixie's for happy hour. I will be there just after 5 and attempt to manage a cluster of tables in one location, barring any further significant flooding.
- Lee",Woman,Asian,,Student,Prefer not to disclose
210,8.0,"your so poetic, please continue to share with me your true feelings, it only 
increases my opinion of LSU alums.","Your writing is really wonderful; if you will keep sharing your honest emotions with me, it will only improve my perception of LSU alumnus.",Woman,Asian,,Student,Prefer not to disclose
700,8.0,"the firm is maybe heading to River Oaks office at 4 or so, for brews, interested?
 
 
Call me if so or just show up, meat.
 
TF","Are you interested in joining the firm at 4 for brews at the River Oaks office?

If so, please call me or simply show up, Meat.

- TF",Woman,Asian,,Student,Prefer not to disclose
